t=,3600, id=,B00, PRDE,actvstrat=,-0.223769, actvprof=,1.066111, id=,B01, PRDE,actvstrat=,0.468380, actvprof=,1.467500, id=,B02, PRDE,actvstrat=,-0.877954, actvprof=,2.127222, id=,B03, PRDE,actvstrat=,0.668294, actvprof=,1.802778, id=,B04, PRDE,actvstrat=,-0.430605, actvprof=,1.140278, id=,B05, PRDE,actvstrat=,0.152460, actvprof=,1.253611, id=,B06, PRDE,actvstrat=,0.888734, actvprof=,1.470000, id=,B07, PRDE,actvstrat=,0.740668, actvprof=,1.814167, id=,B08, PRDE,actvstrat=,0.754074, actvprof=,1.777500, id=,B09, PRDE,actvstrat=,0.944948, actvprof=,1.157778, id=,S00, PRDE,actvstrat=,0.736379, actvprof=,11.259722, id=,S01, PRDE,actvstrat=,-0.687066, actvprof=,3.829722, id=,S02, PRDE,actvstrat=,-0.599481, actvprof=,3.638056, id=,S03, PRDE,actvstrat=,0.467586, actvprof=,9.664167, id=,S04, PRDE,actvstrat=,0.875036, actvprof=,11.923333, id=,S05, PRDE,actvstrat=,-0.470519, actvprof=,4.705556, id=,S06, PRDE,actvstrat=,-0.336978, actvprof=,4.977778, id=,S07, PRDE,actvstrat=,-0.546689, actvprof=,4.462500, id=,S08, PRDE,actvstrat=,-0.605700, actvprof=,4.186944, id=,S09, PRDE,actvstrat=,0.572278, actvprof=,10.297500, best_B_id=,B02, best_B_prof=,2.127222, best_B_strat=,-0.877954, best_S_id=,S04, best_S_prof=,11.923333, best_S_strat=,0.875036, 
t=,7200, id=,B00, PRDE,actvstrat=,0.914897, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.536651, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.818816, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.386237, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.224296, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.231485, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.790495, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.679792, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.476852, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.806528, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.012188, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.786192, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.758640, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.909814, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.329912, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.535416, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.074126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.985899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.935270, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.516660, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.914897, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.012188, 
t=,10800, id=,B00, PRDE,actvstrat=,0.914897, actvprof=,1.504146, id=,B01, PRDE,actvstrat=,0.536651, actvprof=,2.511076, id=,B02, PRDE,actvstrat=,-0.818816, actvprof=,3.133568, id=,B03, PRDE,actvstrat=,0.386237, actvprof=,2.331079, id=,B04, PRDE,actvstrat=,0.224296, actvprof=,2.076082, id=,B05, PRDE,actvstrat=,-0.231485, actvprof=,1.642477, id=,B06, PRDE,actvstrat=,0.790495, actvprof=,2.221080, id=,B07, PRDE,actvstrat=,0.679792, actvprof=,2.319690, id=,B08, PRDE,actvstrat=,-0.476852, actvprof=,1.859974, id=,B09, PRDE,actvstrat=,0.806528, actvprof=,2.257469, id=,S00, PRDE,actvstrat=,0.012188, actvprof=,6.960181, id=,S01, PRDE,actvstrat=,-0.786192, actvprof=,1.778864, id=,S02, PRDE,actvstrat=,-0.758640, actvprof=,1.892474, id=,S03, PRDE,actvstrat=,0.909814, actvprof=,11.351231, id=,S04, PRDE,actvstrat=,0.329912, actvprof=,8.258219, id=,S05, PRDE,actvstrat=,0.535416, actvprof=,9.187095, id=,S06, PRDE,actvstrat=,-0.074126, actvprof=,6.137970, id=,S07, PRDE,actvstrat=,0.985899, actvprof=,10.967625, id=,S08, PRDE,actvstrat=,0.935270, actvprof=,11.004014, id=,S09, PRDE,actvstrat=,-0.516660, actvprof=,3.515507, best_B_id=,B02, best_B_prof=,3.133568, best_B_strat=,-0.818816, best_S_id=,S03, best_S_prof=,11.351231, best_S_strat=,0.909814, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.142416, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.216151, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.961871, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.120477, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.998511, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.356245, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.569722, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.709708, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.476852, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.806528, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.736039, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.902160, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.781343, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.550462, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.637026, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.667177, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.314626, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.117899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.382267, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.277706, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.142416, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.736039, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.142416, actvprof=,0.955820, id=,B01, PRDE,actvstrat=,0.216151, actvprof=,1.181095, id=,B02, PRDE,actvstrat=,0.961871, actvprof=,0.836099, id=,B03, PRDE,actvstrat=,0.120477, actvprof=,1.050541, id=,B04, PRDE,actvstrat=,-0.998511, actvprof=,1.698032, id=,B05, PRDE,actvstrat=,-0.356245, actvprof=,0.931654, id=,B06, PRDE,actvstrat=,-0.569722, actvprof=,1.082763, id=,B07, PRDE,actvstrat=,0.709708, actvprof=,1.449424, id=,B08, PRDE,actvstrat=,-0.476852, actvprof=,0.914154, id=,B09, PRDE,actvstrat=,0.806528, actvprof=,1.608867, id=,S00, PRDE,actvstrat=,0.736039, actvprof=,10.775128, id=,S01, PRDE,actvstrat=,0.902160, actvprof=,11.830113, id=,S02, PRDE,actvstrat=,-0.781343, actvprof=,1.619144, id=,S03, PRDE,actvstrat=,-0.550462, actvprof=,3.489118, id=,S04, PRDE,actvstrat=,-0.637026, actvprof=,3.216344, id=,S05, PRDE,actvstrat=,-0.667177, actvprof=,3.209678, id=,S06, PRDE,actvstrat=,-0.314626, actvprof=,3.597450, id=,S07, PRDE,actvstrat=,-0.117899, actvprof=,5.024097, id=,S08, PRDE,actvstrat=,0.382267, actvprof=,8.886821, id=,S09, PRDE,actvstrat=,-0.277706, actvprof=,4.220497, best_B_id=,B04, best_B_prof=,1.698032, best_B_strat=,-0.998511, best_S_id=,S01, best_S_prof=,11.830113, best_S_strat=,0.902160, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.142416, actvprof=,0.971535, id=,B01, PRDE,actvstrat=,0.216151, actvprof=,1.221536, id=,B02, PRDE,actvstrat=,0.961871, actvprof=,0.859034, id=,B03, PRDE,actvstrat=,0.120477, actvprof=,1.064174, id=,B04, PRDE,actvstrat=,-0.998511, actvprof=,1.700567, id=,B05, PRDE,actvstrat=,-0.356245, actvprof=,1.021118, id=,B06, PRDE,actvstrat=,-0.569722, actvprof=,1.102647, id=,B07, PRDE,actvstrat=,0.709708, actvprof=,1.545983, id=,B08, PRDE,actvstrat=,-0.476852, actvprof=,1.022368, id=,B09, PRDE,actvstrat=,0.806528, actvprof=,1.663900, id=,S00, PRDE,actvstrat=,0.736039, actvprof=,10.821186, id=,S01, PRDE,actvstrat=,0.902160, actvprof=,11.762998, id=,S02, PRDE,actvstrat=,-0.781343, actvprof=,1.593067, id=,S03, PRDE,actvstrat=,-0.550462, actvprof=,3.672942, id=,S04, PRDE,actvstrat=,-0.637026, actvprof=,3.290440, id=,S05, PRDE,actvstrat=,-0.667177, actvprof=,3.048632, id=,S06, PRDE,actvstrat=,-0.314626, actvprof=,3.883360, id=,S07, PRDE,actvstrat=,-0.117899, actvprof=,5.143508, id=,S08, PRDE,actvstrat=,0.382267, actvprof=,8.681033, id=,S09, PRDE,actvstrat=,-0.277706, actvprof=,4.163779, best_B_id=,B04, best_B_prof=,1.700567, best_B_strat=,-0.998511, best_S_id=,S01, best_S_prof=,11.762998, best_S_strat=,0.902160, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.534913, actvprof=,3.794880, id=,B01, PRDE,actvstrat=,-0.375088, actvprof=,3.619040, id=,B02, PRDE,actvstrat=,-0.204864, actvprof=,3.340139, id=,B03, PRDE,actvstrat=,0.091630, actvprof=,3.406531, id=,B04, PRDE,actvstrat=,-0.390689, actvprof=,3.659319, id=,B05, PRDE,actvstrat=,0.016229, actvprof=,3.281526, id=,B06, PRDE,actvstrat=,-0.305716, actvprof=,3.199856, id=,B07, PRDE,actvstrat=,0.335589, actvprof=,3.869606, id=,B08, PRDE,actvstrat=,0.245253, actvprof=,3.727655, id=,B09, PRDE,actvstrat=,0.133388, actvprof=,3.470145, id=,S00, PRDE,actvstrat=,0.012188, actvprof=,4.301846, id=,S01, PRDE,actvstrat=,-0.714166, actvprof=,1.819242, id=,S02, PRDE,actvstrat=,-0.234672, actvprof=,2.728169, id=,S03, PRDE,actvstrat=,0.909814, actvprof=,8.712030, id=,S04, PRDE,actvstrat=,-0.900499, actvprof=,0.842535, id=,S05, PRDE,actvstrat=,0.465690, actvprof=,6.245538, id=,S06, PRDE,actvstrat=,0.693164, actvprof=,7.795603, id=,S07, PRDE,actvstrat=,0.386710, actvprof=,6.148034, id=,S08, PRDE,actvstrat=,0.987752, actvprof=,8.179230, id=,S09, PRDE,actvstrat=,0.572278, actvprof=,6.840563, best_B_id=,B07, best_B_prof=,3.869606, best_B_strat=,0.335589, best_S_id=,S03, best_S_prof=,8.712030, best_S_strat=,0.909814, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.534913, actvprof=,3.729913, id=,B01, PRDE,actvstrat=,-0.375088, actvprof=,3.532688, id=,B02, PRDE,actvstrat=,-0.204864, actvprof=,3.346852, id=,B03, PRDE,actvstrat=,0.091630, actvprof=,3.416436, id=,B04, PRDE,actvstrat=,-0.390689, actvprof=,3.716996, id=,B05, PRDE,actvstrat=,0.016229, actvprof=,3.245462, id=,B06, PRDE,actvstrat=,-0.305716, actvprof=,3.261573, id=,B07, PRDE,actvstrat=,0.335589, actvprof=,3.783525, id=,B08, PRDE,actvstrat=,0.245253, actvprof=,3.673523, id=,B09, PRDE,actvstrat=,0.133388, actvprof=,3.501299, id=,S00, PRDE,actvstrat=,0.012188, actvprof=,4.483673, id=,S01, PRDE,actvstrat=,-0.714166, actvprof=,1.621411, id=,S02, PRDE,actvstrat=,-0.234672, actvprof=,2.603786, id=,S03, PRDE,actvstrat=,0.909814, actvprof=,8.630259, id=,S04, PRDE,actvstrat=,-0.900499, actvprof=,0.819456, id=,S05, PRDE,actvstrat=,0.465690, actvprof=,6.373144, id=,S06, PRDE,actvstrat=,0.693164, actvprof=,7.718024, id=,S07, PRDE,actvstrat=,0.386710, actvprof=,6.095918, id=,S08, PRDE,actvstrat=,0.987752, actvprof=,7.993583, id=,S09, PRDE,actvstrat=,0.572278, actvprof=,6.987041, best_B_id=,B07, best_B_prof=,3.783525, best_B_strat=,0.335589, best_S_id=,S03, best_S_prof=,8.630259, best_S_strat=,0.909814, 
t=,32400, id=,B00, PRDE,actvstrat=,0.299288, actvprof=,2.933300, id=,B01, PRDE,actvstrat=,-0.449507, actvprof=,2.797733, id=,B02, PRDE,actvstrat=,-0.479846, actvprof=,2.934967, id=,B03, PRDE,actvstrat=,0.133582, actvprof=,2.721060, id=,B04, PRDE,actvstrat=,0.601465, actvprof=,3.268606, id=,B05, PRDE,actvstrat=,0.537247, actvprof=,3.369447, id=,B06, PRDE,actvstrat=,-0.327983, actvprof=,2.959691, id=,B07, PRDE,actvstrat=,-0.913083, actvprof=,4.107287, id=,B08, PRDE,actvstrat=,-0.576937, actvprof=,3.102203, id=,B09, PRDE,actvstrat=,0.788243, actvprof=,3.130261, id=,S00, PRDE,actvstrat=,-0.861737, actvprof=,0.682279, id=,S01, PRDE,actvstrat=,0.107714, actvprof=,5.471011, id=,S02, PRDE,actvstrat=,-0.733991, actvprof=,1.799039, id=,S03, PRDE,actvstrat=,0.707807, actvprof=,8.650443, id=,S04, PRDE,actvstrat=,0.996155, actvprof=,9.225769, id=,S05, PRDE,actvstrat=,0.664353, actvprof=,8.429591, id=,S06, PRDE,actvstrat=,0.867904, actvprof=,9.571631, id=,S07, PRDE,actvstrat=,-0.924289, actvprof=,0.805067, id=,S08, PRDE,actvstrat=,0.932425, actvprof=,9.664694, id=,S09, PRDE,actvstrat=,0.572278, actvprof=,7.783704, best_B_id=,B07, best_B_prof=,4.107287, best_B_strat=,-0.913083, best_S_id=,S08, best_S_prof=,9.664694, best_S_strat=,0.932425, 
t=,36000, id=,B00, PRDE,actvstrat=,0.299288, actvprof=,3.055822, id=,B01, PRDE,actvstrat=,-0.449507, actvprof=,2.811367, id=,B02, PRDE,actvstrat=,-0.479846, actvprof=,3.010125, id=,B03, PRDE,actvstrat=,0.133582, actvprof=,2.762476, id=,B04, PRDE,actvstrat=,0.601465, actvprof=,3.328611, id=,B05, PRDE,actvstrat=,0.537247, actvprof=,3.440004, id=,B06, PRDE,actvstrat=,-0.327983, actvprof=,2.926372, id=,B07, PRDE,actvstrat=,-0.913083, actvprof=,4.188647, id=,B08, PRDE,actvstrat=,-0.576937, actvprof=,3.272775, id=,B09, PRDE,actvstrat=,0.788243, actvprof=,3.065267, id=,S00, PRDE,actvstrat=,-0.861737, actvprof=,0.797811, id=,S01, PRDE,actvstrat=,0.107714, actvprof=,5.328000, id=,S02, PRDE,actvstrat=,-0.733991, actvprof=,1.755351, id=,S03, PRDE,actvstrat=,0.707807, actvprof=,8.663000, id=,S04, PRDE,actvstrat=,0.996155, actvprof=,9.206217, id=,S05, PRDE,actvstrat=,0.664353, actvprof=,8.559107, id=,S06, PRDE,actvstrat=,0.867904, actvprof=,9.619151, id=,S07, PRDE,actvstrat=,-0.924289, actvprof=,0.827257, id=,S08, PRDE,actvstrat=,0.932425, actvprof=,9.587622, id=,S09, PRDE,actvstrat=,0.572278, actvprof=,7.576705, best_B_id=,B07, best_B_prof=,4.188647, best_B_strat=,-0.913083, best_S_id=,S06, best_S_prof=,9.619151, best_S_strat=,0.867904, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.462853, actvprof=,3.305553, id=,B01, PRDE,actvstrat=,0.762876, actvprof=,3.301664, id=,B02, PRDE,actvstrat=,-0.579603, actvprof=,3.219713, id=,B03, PRDE,actvstrat=,-0.506642, actvprof=,3.306387, id=,B04, PRDE,actvstrat=,0.953601, actvprof=,1.740145, id=,B05, PRDE,actvstrat=,0.752756, actvprof=,3.136095, id=,B06, PRDE,actvstrat=,-0.863152, actvprof=,4.562047, id=,B07, PRDE,actvstrat=,-0.610884, actvprof=,3.727533, id=,B08, PRDE,actvstrat=,-0.098034, actvprof=,3.028030, id=,B09, PRDE,actvstrat=,-0.649640, actvprof=,3.813929, id=,S00, PRDE,actvstrat=,0.989907, actvprof=,9.276606, id=,S01, PRDE,actvstrat=,-0.714166, actvprof=,1.808762, id=,S02, PRDE,actvstrat=,0.956211, actvprof=,9.232992, id=,S03, PRDE,actvstrat=,0.786243, actvprof=,9.364947, id=,S04, PRDE,actvstrat=,-0.114958, actvprof=,3.790594, id=,S05, PRDE,actvstrat=,-0.679875, actvprof=,2.214907, id=,S06, PRDE,actvstrat=,0.974775, actvprof=,9.275217, id=,S07, PRDE,actvstrat=,0.474569, actvprof=,6.724727, id=,S08, PRDE,actvstrat=,-0.774314, actvprof=,1.133150, id=,S09, PRDE,actvstrat=,0.847138, actvprof=,9.511626, best_B_id=,B06, best_B_prof=,4.562047, best_B_strat=,-0.863152, best_S_id=,S09, best_S_prof=,9.511626, best_S_strat=,0.847138, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.462853, actvprof=,3.473339, id=,B01, PRDE,actvstrat=,0.762876, actvprof=,3.243468, id=,B02, PRDE,actvstrat=,-0.579603, actvprof=,3.396253, id=,B03, PRDE,actvstrat=,-0.506642, actvprof=,3.315833, id=,B04, PRDE,actvstrat=,0.953601, actvprof=,1.712016, id=,B05, PRDE,actvstrat=,0.752756, actvprof=,3.320138, id=,B06, PRDE,actvstrat=,-0.863152, actvprof=,4.643110, id=,B07, PRDE,actvstrat=,-0.610884, actvprof=,3.648763, id=,B08, PRDE,actvstrat=,-0.098034, actvprof=,2.926233, id=,B09, PRDE,actvstrat=,-0.649640, actvprof=,3.800297, id=,S00, PRDE,actvstrat=,0.989907, actvprof=,9.253858, id=,S01, PRDE,actvstrat=,-0.714166, actvprof=,1.626179, id=,S02, PRDE,actvstrat=,0.956211, actvprof=,9.347056, id=,S03, PRDE,actvstrat=,0.786243, actvprof=,9.213439, id=,S04, PRDE,actvstrat=,-0.114958, actvprof=,3.938081, id=,S05, PRDE,actvstrat=,-0.679875, actvprof=,2.338709, id=,S06, PRDE,actvstrat=,0.974775, actvprof=,9.261358, id=,S07, PRDE,actvstrat=,0.474569, actvprof=,6.799867, id=,S08, PRDE,actvstrat=,-0.774314, actvprof=,1.329500, id=,S09, PRDE,actvstrat=,0.847138, actvprof=,9.483173, best_B_id=,B06, best_B_prof=,4.643110, best_B_strat=,-0.863152, best_S_id=,S09, best_S_prof=,9.483173, best_S_strat=,0.847138, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.534913, actvprof=,2.981165, id=,B01, PRDE,actvstrat=,0.014561, actvprof=,2.562507, id=,B02, PRDE,actvstrat=,-0.579603, actvprof=,3.048394, id=,B03, PRDE,actvstrat=,-0.008206, actvprof=,2.824758, id=,B04, PRDE,actvstrat=,-0.390689, actvprof=,2.464163, id=,B05, PRDE,actvstrat=,-0.598424, actvprof=,3.215357, id=,B06, PRDE,actvstrat=,0.942262, actvprof=,1.906601, id=,B07, PRDE,actvstrat=,0.103504, actvprof=,2.661407, id=,B08, PRDE,actvstrat=,-0.563933, actvprof=,2.801145, id=,B09, PRDE,actvstrat=,0.958102, actvprof=,1.719358, id=,S00, PRDE,actvstrat=,0.598771, actvprof=,7.926714, id=,S01, PRDE,actvstrat=,0.208423, actvprof=,5.942327, id=,S02, PRDE,actvstrat=,-0.191091, actvprof=,3.473441, id=,S03, PRDE,actvstrat=,0.786243, actvprof=,9.395488, id=,S04, PRDE,actvstrat=,-0.256867, actvprof=,3.583176, id=,S05, PRDE,actvstrat=,0.643242, actvprof=,8.283420, id=,S06, PRDE,actvstrat=,0.652731, actvprof=,8.100622, id=,S07, PRDE,actvstrat=,0.386710, actvprof=,7.122458, id=,S08, PRDE,actvstrat=,-0.307581, actvprof=,3.190632, id=,S09, PRDE,actvstrat=,-0.177067, actvprof=,3.450939, best_B_id=,B05, best_B_prof=,3.215357, best_B_strat=,-0.598424, best_S_id=,S03, best_S_prof=,9.395488, best_S_strat=,0.786243, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.534913, actvprof=,2.823490, id=,B01, PRDE,actvstrat=,0.014561, actvprof=,2.667370, id=,B02, PRDE,actvstrat=,-0.579603, actvprof=,2.947247, id=,B03, PRDE,actvstrat=,-0.008206, actvprof=,2.736958, id=,B04, PRDE,actvstrat=,-0.390689, actvprof=,2.607089, id=,B05, PRDE,actvstrat=,-0.598424, actvprof=,3.193372, id=,B06, PRDE,actvstrat=,0.942262, actvprof=,1.918440, id=,B07, PRDE,actvstrat=,0.103504, actvprof=,2.656953, id=,B08, PRDE,actvstrat=,-0.563933, actvprof=,2.810017, id=,B09, PRDE,actvstrat=,0.958102, actvprof=,1.717734, id=,S00, PRDE,actvstrat=,0.598771, actvprof=,7.939469, id=,S01, PRDE,actvstrat=,0.208423, actvprof=,5.994916, id=,S02, PRDE,actvstrat=,-0.191091, actvprof=,3.531030, id=,S03, PRDE,actvstrat=,0.786243, actvprof=,9.401217, id=,S04, PRDE,actvstrat=,-0.256867, actvprof=,3.447830, id=,S05, PRDE,actvstrat=,0.643242, actvprof=,8.342130, id=,S06, PRDE,actvstrat=,0.652731, actvprof=,8.204206, id=,S07, PRDE,actvstrat=,0.386710, actvprof=,7.141786, id=,S08, PRDE,actvstrat=,-0.307581, actvprof=,3.030446, id=,S09, PRDE,actvstrat=,-0.177067, actvprof=,3.693122, best_B_id=,B05, best_B_prof=,3.193372, best_B_strat=,-0.598424, best_S_id=,S03, best_S_prof=,9.401217, best_S_strat=,0.786243, 
